W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QDEB2
-999,1,1,2,0,1,1,1,4,2,1,1,1,1,0,2,1,0,4,3,1,5,2,2,2,3,35,0,2,2,2,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,15,2,1,5,3,35000
-999,1,1,2,3,1,2,1,2,2,1,1,1,1,0,2,4,0,2,3,1,5,2,1,1,3,41,0,2,2,3,2,2,2,5,18,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,19,2,1,5,1,45000
-999,2,1,2,0,1,1,1,20,20,2,3,8,2,0,2,1,0,4,3,2,-91,1,2,1,3,36,0,2,2,5,2,1,1,5,16,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,11,0,1,7,1,80000
-999,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,0,1,1,1,5,2,1,2,3,31,3,2,2,-91,1,2,2,5,12,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,18,4,1,2,1,121000
-999,2,1,2,2,1,2,1,9,15,1,2,2,1,0,2,3,0,1,1,1,1,2,1,2,3,32,7,2,3,2,2,1,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,19,0,1,2,1,265000
-99,1,1,1,-99,1,4,1,-99,15,1,3,6,1,0,2,4,0,4,5,3,1,1,2,2,-99,22,8,1,4,-91,2,2,2,5,10,-91,1,1,2,1,2,1,2,6,2,4,2,-91,8,10,1,4,1,100
-99,1,1,2,0,1,2,1,16,-99,1,1,1,1,1,2,2,0,4,1,3,2,-1,-1,1,3,30,1,-1,-1,6,2,1,2,5,10,-91,2,2,2,1,2,2,2,9,4,4,2,-91,13,9,1,7,2,150
-99,2,1,2,1,1,1,1,9,-99,1,2,2,1,0,2,3,0,-99,1,2,1,2,1,1,3,25,0,2,2,-1,2,2,2,5,13,-91,1,2,2,1,2,2,2,7,4,4,2,-91,9,0,1,4,1,400
-99,1,1,1,-99,1,1,1,-99,20,1,2,2,1,0,2,3,0,4,4,1,3,2,2,1,-99,34,1,2,2,-91,2,2,1,5,18,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,1,2,5,1,400
-99,1,1,2,0,1,2,1,15,-99,1,1,1,1,0,3,2,0,4,1,1,3,1,1,1,3,33,0,2,1,2,1,2,2,1,11,-91,1,2,2,1,2,2,2,9,4,4,2,-91,14,1,1,2,1,1100
