"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"154",NA,1,1,2,1,1,2,1,5,"16","1",1,1,"1",0,2,2,0,2,1,2,4,2,2,2,3,35,0,2,1,"5",2,2,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,4,"1","5",1,250
"155",NA,1,1,2,0,1,2,1,20,"20","1",1,1,"1",0,2,2,0,7,3,1,2,1,2,1,3,45,0,2,2,"6",1,2,2,5,18,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",10,0,"1","1",1,300
"156",NA,2,1,1,1,1,2,1,15,"2","1",2,2,"1",0,2,2,0,2,1,2,4,2,2,2,3,32,1,2,2,"3",2,2,2,5,17,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",15,0,"1","4",1,300
"157",NA,4,1,2,0,1,1,1,2,"7","1",2,2,"1",0,2,1,0,1,1,1,5,2,1,1,3,30,1,2,2,"4",2,2,2,5,13,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","5",1,300
"158",NA,3,1,1,3,1,1,1,20,"9","1",3,6,"1",0,2,5,0,4,4,2,1,1,2,1,3,38,4,1,4,"Missing",2,1,1,5,16,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",16,1,"2","2",2,320
"159",NA,1,1,1,0,1,2,1,7,"1","1",3,6,"1",1,2,1,0,1,1,1,4,2,1,1,3,38,4,2,3,"4",2,2,1,5,17,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",22,0,"1","4",1,350
"161",NA,1,1,2,0,1,2,1,2,"8","1",1,1,"1",1,2,1,0,1,1,1,5,2,1,1,3,44,1,2,1,"1",1,2,2,5,18,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,9,"2","2",1,400
"162",NA,1,1,2,1,1,2,1,2,"1","1",1,1,"1",0,2,2,0,1,1,1,3,2,2,1,3,36,4,2,3,"2",1,1,2,5,11,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",18,4,"1","4",1,400
"163",NA,1,1,2,1,1,1,1,8,"4","1",2,2,"1",0,2,2,0,1,1,1,5,2,2,2,3,42,3,2,1,"5",2,2,2,5,13,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,1,"1","5",1,400
"164",NA,1,1,2,1,1,2,1,9,"2","1",1,1,"1",0,2,2,0,2,1,1,2,2,1,1,3,31,0,2,1,"2",1,2,2,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",11,0,"1","2",1,500
